threads Event Avg Total Orch READER DCDN MAGFIELDS FTCAL FTHODO FTTRK FTEB RASTER DCCR MLTD DCHAI FTOFHB EC CVTFP CTOF CND BAND HTCC LTCC EBHB DCTB FMT CVTSP FTOFTB EBTB RICH RTPC VTX CALIB WRITER TOTAL
4 89.44 104.79 263.02 285.48 8.58 35.38 0.02 0.08 0.07 0.11 0.04 0.05 4.89 7.26 24.06 1.65 2.03 97.49 1.73 0.52 0.09 0.14 0.09 1.01 82.23 2.17 29.04 1.47 0.93 3.19 0.04 105.53 0.32 0.24 410.47
8 49.14 58.14 145.93 158.91 8.63 36.18 0.02 0.06 0.06 0.13 0.05 0.03 6.39 9.22 24.6 1.65 2.05 104.23 1.84 0.66 0.13 0.13 0.1 1.36 105.72 2.18 29.92 1.53 0.96 3.41 0.04 112.58 0.3 0.24 454.42
12 32.31 46.22 116.0 129.13 9.58 39.49 0.03 0.07 0.08 0.1 0.05 0.04 7.71 9.58 28.65 1.82 2.66 121.48 2.69 0.65 0.16 0.17 0.12 1.73 136.42 2.36 35.44 1.93 1.18 3.99 0.05 120.72 0.33 0.29 529.57
16 25.06 35.01 87.87 102.32 9.94 38.76 0.02 0.07 0.05 0.12 0.05 0.04 10.92 8.22 27.89 2.0 2.5 116.15 3.43 0.63 0.13 0.16 0.1 2.0 153.45 2.47 33.67 1.82 1.01 4.06 0.03 120.14 0.34 0.25 540.44
20 21.25 29.48 74.0 84.97 9.17 38.91 0.02 0.07 0.06 0.1 0.05 0.04 9.75 8.24 27.88 1.84 3.69 117.77 2.7 0.53 0.16 0.18 0.11 2.11 179.11 2.39 34.19 1.89 1.11 4.22 0.04 118.14 0.31 0.22 565.03
24 18.97 31.04 77.9 89.37 10.46 42.0 0.02 0.07 0.06 0.11 0.05 0.04 12.41 9.25 31.56 2.09 3.78 132.57 3.45 0.61 0.18 0.18 0.12 2.53 217.36 2.52 37.61 1.92 1.05 4.37 0.04 134.11 0.33 0.26 651.1
28 15.8 29.41 73.81 85.57 10.43 42.61 0.02 0.06 0.06 0.12 0.05 0.04 12.9 9.65 33.73 2.27 4.39 137.77 2.72 0.66 0.22 0.14 0.12 2.14 239.63 2.55 37.7 2.06 1.11 4.78 0.04 131.94 0.34 0.28 680.51
32 12.59 24.93 62.59 74.05 8.43 38.8 0.03 0.05 0.05 0.12 0.04 0.04 14.06 9.44 30.21 2.22 4.91 120.11 3.75 0.57 0.05 0.08 0.06 2.1 244.06 2.32 32.59 1.9 1.18 5.01 0.04 117.85 0.33 0.22 640.62
